Stock Added,Stock Removed,Announcement Date,Add Date,Remove Date,Reason,GICS Added,GICS Removed
PCS,TYC,6/22/2009,6/25/2009,6/29/2009,Redomesticated,Information Technolgy,Telecommunication Services
FMC,CTX,8/11/2009,8/18/2009,8/18/2009,Merger,Materials,Consumer Discretionary
PCLN,SGP,10/29/2009,11/6/2009,11/6/2009,Merger,Materials,Health Care
DO,WFT,2/13/2009,2/26/2009,2/26/2009,Redomesticated,Energy,Energy
CFN,MTW,8/24/2009,8/31/2009,8/31/2009,Spin off,Health Care,Materials
WDC,EQ,5/21/2009,7/1/2009,7/1/2009,Merger,Technolgy,Telecommunication Services
RHT,CIT,7/17/2009,7/24/2009,7/24/2009,Market Cap,Information Technolgy,Financials
PWR,IR,6/4/2009,7/1/2009,7/1/2009,Redomesticated,Industrials,Industrials
IRM,UST,12/29/2008,1/6/2009,1/6/2009,Merger,Industrials,Consumer Staples
WYNN,AASH,11/10/2008,11/13/2008,11/13/2008,Market Cap,Consumer Discretionary,Materials
XRAY,HPC,11/10/2008,11/13/2008,11/13/2008,Market Cap,Health Care,Materials
GGP,CEPH,11/11/2008,11/12/2008,11/14/2008,Market Cap,Financials,Health Care
SCANA,MER,12/23/2008,12/31/2008,12/31/2008,Market Cap,Utilities,Financials
OI,WB,12/23/2008,12/31/2008,12/31/2008,Market Cap,Materials,Financials
FLIR,NCC,12/23/2008,12/31/2008,12/31/2008,Market Cap,Information Technolgy,Financials
DNB,LIZ,11/26/2008,12/1/2008,12/1/2008,Market Cap,Industrials,Consumer Discretionary
RSG,AW,11/26/2008,12/3/2008,12/3/2008,Merger,Industrials,Industrials
SNI,SSP,6/24/2008,6/30/2008,6/30/2008,Spin Off,Consumer Discretionary,Consumer Discretionary
SWN,TT,5/27/2008,6/5/2008,6/5/2008,Merger,Energy,Industrials
EQT,RIG,12/11/2008,12/18/2008,12/18/2008,Redomesticated,Utilities,Energy
SRLC,BUD,11/17/2008,,,Merger,Industrials,Consumer Staples
LIFE,ABI,11/17/2008,11/21/2008,11/21/2008,Merger,Health Care,Health Care
PM,CC,3/20/2008,3/28/2008,3/28/2008,Market Cap,Consumer Staples,Consumer Discretionary
HCP,CBH,3/20/2008,3/28/2008,3/28/2008,Merger,Financials,Financials
MA,ACE,7/10/2008,7/17/2008,7/17/2008,Redomesticated,Information Technolgy,Financials
LO,ABK,6/3/2008,6/10/2008,6/10/2008,Market Cap,Consumer Staples,Financials
COG,BC,6/12/2008,6/20/2008,6/20/2008,Market Cap,Energy,Energy
MEE,OMX,6/12/2008,6/20/2008,6/20/2008,Market Cap,Energy,Energy
CAM,HET,1/17/2008,1/28/2008,1/28/2008,Market Cap,Health Care,Consumer Discretionary
ISR,BSC,5/22/2008,5/30/2008,5/30/2008,Merger,Health Care,Financials
PBCT,UIS,11/7/2008,11/10/2008,11/10/2008,Market Cap,Financials,Information Technolgy
AKS,CFC,6/26/2008,6/30/2008,6/30/2008,Merger,Materials,Financials
MFE,BRL,12/18/2009,12/18/2009,12/18/2009,Merger,Information Technolgy,Health Care
